track,outer_fold_id,metric,lambda,alpha_code_parameter,simulated_training,inner_validation_count,mean_inner_smape_percent,std_inner_smape_percent,mean_inner_absolute_log_error,selected_lambda,selection_status,boundary_hit,boundary_side,min_required_inner_validations
official_only_nested,tourism_comprehensive_income_test_2018,tourism_comprehensive_income,177.8279410039,177.8279410039,False,3,55.0855419065,12.3136406539,0.5671692690,0.0001000000,selected_by_nested_expanding_origin_smape,True,lower,3
official_only_nested,tourism_comprehensive_income_test_2018,tourism_comprehensive_income,316.2277660168,316.2277660168,False,3,55.7638649594,12.6196881957,0.5746340748,0.0001000000,selected_by_nested_expanding_origin_smape,True,lower,3
official_only_nested,tourism_comprehensive_income_test_2018,tourism_comprehensive_income,562.3413251903,562.3413251903,False,3,56.1548244999,12.7981671784,0.5789464940,0.0001000000,selected_by_nested_expanding_origin_smape,True,lower,3
official_only_nested,tourism_comprehensive_income_test_2018,tourism_comprehensive_income,1000.0000000000,1000.0000000000,False,3,56.3777780669,12.9006294925,0.5814090758,0.0001000000,selected_by_nested_expanding_origin_smape,True,lower,3
official_only_nested,tourism_comprehensive_income_test_2019,tourism_comprehensive_income,0.0001000000,0.0001000000,False,4,9.0805457234,3.9301877797,0.0908939006,0.0001000000,selected_by_nested_expanding_origin_smape,True,lower,3
official_only_nested,tourism_comprehensive_income_test_2019,tourism_comprehensive_income,0.0001778279,0.0001778279,False,4,9.0811169276,3.9302157444,0.0908996265,0.0001000000,selected_by_nested_expanding_origin_smape,True,lower,3
official_only_nested,tourism_comprehensive_income_test_2019,tourism_comprehensive_income,0.0003162278,0.0003162278,False,4,9.0821326540,3.9302654691,0.0909098083,0.0001000000,selected_by_nested_expanding_origin_smape,True,lower,3
official_only_nested,tourism_comprehensive_income_test_2019,tourism_comprehensive_income,0.0005623413,0.0005623413,False,4,9.0839387907,3.9303538803,0.0909279133,0.0001000000,selected_by_nested_expanding_origin_smape,True,lower,3
official_only_nested,tourism_comprehensive_income_test_2019,tourism_comprehensive_income,0.0010000000,0.0010000000,False,4,9.0871502633,3.9305110582,0.0909601058,0.0001000000,selected_by_nested_expanding_origin_smape,True,lower,3
official_only_nested,tourism_comprehensive_income_test_2019,tourism_comprehensive_income,0.0017782794,0.0017782794,False,4,9.0928600743,3.9307904317,0.0910173422,0.0001000000,selected_by_nested_expanding_origin_smape,True,lower,3
official_only_nested,tourism_comprehensive_income_test_2019,tourism_comprehensive_income,0.0031622777,0.0031622777,False,4,9.1030102850,3.9312868163,0.0911190906,0.0001000000,selected_by_nested_expanding_origin_smape,True,lower,3
official_only_nested,tourism_comprehensive_income_test_2019,tourism_comprehensive_income,0.0056234133,0.0056234133,False,4,9.1210493615,3.9321682010,0.0912999202,0.0001000000,selected_by_nested_expanding_origin_smape,True,lower,3
official_only_nested,tourism_comprehensive_income_test_2019,tourism_comprehensive_income,0.0100000000,0.0100000000,False,4,9.1530936662,3.9337313599,0.0916211467,0.0001000000,selected_by_nested_expanding_origin_smape,True,lower,3
official_only_nested,tourism_comprehensive_income_test_2019,tourism_comprehensive_income,0.0177827941,0.0177827941,False,4,9.2099694626,3.9364978660,0.0921913070,0.0001000000,selected_by_nested_expanding_origin_smape,True,lower,3
official_only_nested,tourism_comprehensive_income_test_2019,tourism_comprehensive_income,0.0316227766,0.0316227766,False,4,9.3107706778,3.9413757769,0.0932018426,0.0001000000,selected_by_nested_expanding_origin_smape,True,lower,3
official_only_nested,tourism_comprehensive_income_test_2019,tourism_comprehensive_income,0.0562341325,0.0562341325,False,4,9.4889568950,3.9499188690,0.0949882855,0.0001000000,selected_by_nested_expanding_origin_smape,True,lower,3
official_only_nested,tourism_comprehensive_income_test_2019,tourism_comprehensive_income,0.1000000000,0.1000000000,False,4,9.8024943998,3.9647002653,0.0981321006,0.0001000000,selected_by_nested_expanding_origin_smape,True,lower,3
official_only_nested,tourism_comprehensive_income_test_2019,tourism_comprehensive_income,0.1778279410,0.1778279410,False,4,10.3497769779,3.9897141397,0.1036208591,0.0001000000,selected_by_nested_expanding_origin_smape,True,lower,3
official_only_nested,tourism_comprehensive_income_test_2019,tourism_comprehensive_income,0.3162277660,0.3162277660,False,4,11.2918324173,4.0303481259,0.1130726223,0.0001000000,selected_by_nested_expanding_origin_smape,True,lower,3
official_only_nested,tourism_comprehensive_income_test_2019,tourism_comprehensive_income,0.5623413252,0.5623413252,False,4,12.8753717125,4.0915506415,0.1289722742,0.0001000000,selected_by_nested_expanding_origin_smape,True,lower,3
official_only_nested,tourism_comprehensive_income_test_2019,tourism_comprehensive_income,1.0000000000,1.0000000000,False,4,15.4348191496,4.1720612941,0.1547063799,0.0001000000,selected_by_nested_expanding_origin_smape,True,lower,3
official_only_nested,tourism_comprehensive_income_test_2019,tourism_comprehensive_income,1.7782794100,1.7782794100,False,4,19.3236856291,4.2591699724,0.1939089268,0.0001000000,selected_by_nested_expanding_origin_smape,True,lower,3
official_only_nested,tourism_comprehensive_income_test_2019,tourism_comprehensive_income,3.1622776602,3.1622776602,False,4,24.7191971962,4.3610922606,0.2485556584,0.0001000000,selected_by_nested_expanding_origin_smape,True,lower,3
official_only_nested,tourism_comprehensive_income_test_2019,tourism_comprehensive_income,5.6234132519,5.6234132519,False,4,31.3464889611,4.6329515493,0.3162092252,0.0001000000,selected_by_nested_expanding_origin_smape,True,lower,3
official_only_nested,tourism_comprehensive_income_test_2019,tourism_comprehensive_income,10.0000000000,10.0000000000,False,4,38.3818856091,5.3977324404,0.3888756665,0.0001000000,selected_by_nested_expanding_origin_smape,True,lower,3
official_only_nested,tourism_comprehensive_income_test_2019,tourism_comprehensive_income,17.7827941004,17.7827941004,False,4,44.7853173552,6.7025864858,0.4560064432,0.0001000000,selected_by_nested_expanding_origin_smape,True,lower,3
official_only_nested,tourism_comprehensive_income_test_2019,tourism_comprehensive_income,31.6227766017,31.6227766017,False,4,49.8410379212,8.1555887401,0.5098534659,0.0001000000,selected_by_nested_expanding_origin_smape,True,lower,3
official_only_nested,tourism_comprehensive_income_test_2019,tourism_comprehensive_income,56.2341325190,56.2341325190,False,4,53.3969116995,9.3846755765,0.5482648795,0.0001000000,selected_by_nested_expanding_origin_smape,True,lower,3
official_only_nested,tourism_comprehensive_income_test_2019,tourism_comprehensive_income,100.0000000000,100.0000000000,False,4,55.6964189497,10.2641763723,0.5733761651,0.0001000000,selected_by_nested_expanding_origin_smape,True,lower,3
official_only_nested,tourism_comprehensive_income_test_2019,tourism_comprehensive_income,177.8279410039,177.8279410039,False,4,57.1027196567,10.8332753621,0.5888484556,0.0001000000,selected_by_nested_expanding_origin_smape,True,lower,3
official_only_nested,tourism_comprehensive_income_test_2019,tourism_comprehensive_income,316.2277660168,316.2277660168,False,4,57.9333284470,11.1802194701,0.5980303601,0.0001000000,selected_by_nested_expanding_origin_smape,True,lower,3
official_only_nested,tourism_comprehensive_income_test_2019,tourism_comprehensive_income,562.3413251903,562.3413251903,False,4,58.4137967175,11.3845162686,0.6033569085,0.0001000000,selected_by_nested_expanding_origin_smape,True,lower,3
official_only_nested,tourism_comprehensive_income_test_2019,tourism_comprehensive_income,1000.0000000000,1000.0000000000,False,4,58.6883685138,11.5024406275,0.6064059758,0.0001000000,selected_by_nested_expanding_origin_smape,True,lower,3
official_only_nested,tourism_comprehensive_income_test_2021,tourism_comprehensive_income,0.0001000000,0.0001000000,False,5,8.8270830945,3.4505069931,0.0883495424,0.0001000000,selected_by_nested_expanding_origin_smape,True,lower,3
official_only_nested,tourism_comprehensive_income_test_2021,tourism_comprehensive_income,0.0001778279,0.0001778279,False,5,8.8276322034,3.4505389978,0.0883550460,0.0001000000,selected_by_nested_expanding_origin_smape,True,lower,3
official_only_nested,tourism_comprehensive_income_test_2021,tourism_comprehensive_income,0.0003162278,0.0003162278,False,5,8.8286086415,3.4505959076,0.0883648325,0.0001000000,selected_by_nested_expanding_origin_smape,True,lower,3
official_only_nested,tourism_comprehensive_income_test_2021,tourism_comprehensive_income,0.0005623413,0.0005623413,False,5,8.8303449237,3.4506970985,0.0883822348,0.0001000000,selected_by_nested_expanding_origin_smape,True,lower,3
