metric,lambda,alpha_code_parameter,simulated_training,inner_validation_count,mean_inner_smape_percent,std_inner_smape_percent,mean_inner_absolute_log_error,selected_lambda,selection_status,boundary_hit,boundary_side,min_required_inner_validations,selection_track,selected_for_forecast
tourist_visits,0.1000000000,0.1000000000,False,7,12.1703765418,14.0602823239,0.1227419149,0.0000000000,selected_by_nested_expanding_origin_smape,True,lower,3,zero_boundary_diagnostic,False
tourist_visits,0.1778279410,0.1778279410,False,7,12.4553384436,13.7785564282,0.1255701355,0.0000000000,selected_by_nested_expanding_origin_smape,True,lower,3,zero_boundary_diagnostic,False
tourist_visits,0.3162277660,0.3162277660,False,7,12.9455826812,13.2892901685,0.1304373226,0.0000000000,selected_by_nested_expanding_origin_smape,True,lower,3,zero_boundary_diagnostic,False
tourist_visits,0.5623413252,0.5623413252,False,7,13.7688350405,12.4542223194,0.1386155455,0.0000000000,selected_by_nested_expanding_origin_smape,True,lower,3,zero_boundary_diagnostic,False
tourist_visits,1.0000000000,1.0000000000,False,7,15.0970249203,11.0699655219,0.1518249256,0.0000000000,selected_by_nested_expanding_origin_smape,True,lower,3,zero_boundary_diagnostic,False
tourist_visits,1.7782794100,1.7782794100,False,7,17.1082580191,8.8850218736,0.1718714063,0.0000000000,selected_by_nested_expanding_origin_smape,True,lower,3,zero_boundary_diagnostic,False
tourist_visits,3.1622776602,3.1622776602,False,7,19.8807198186,5.7393805934,0.1996201055,0.0000000000,selected_by_nested_expanding_origin_smape,True,lower,3,zero_boundary_diagnostic,False
tourist_visits,5.6234132519,5.6234132519,False,7,23.2446168674,2.7774894594,0.2335387123,0.0000000000,selected_by_nested_expanding_origin_smape,True,lower,3,zero_boundary_diagnostic,False
tourist_visits,10.0000000000,10.0000000000,False,7,26.7378248054,6.0323530097,0.2691841589,0.0000000000,selected_by_nested_expanding_origin_smape,True,lower,3,zero_boundary_diagnostic,False
tourist_visits,17.7827941004,17.7827941004,False,7,29.8074400663,11.7468783713,0.3010293300,0.0000000000,selected_by_nested_expanding_origin_smape,True,lower,3,zero_boundary_diagnostic,False
tourist_visits,31.6227766017,31.6227766017,False,7,33.7422023888,13.0094830246,0.3417061108,0.0000000000,selected_by_nested_expanding_origin_smape,True,lower,3,zero_boundary_diagnostic,False
tourist_visits,56.2341325190,56.2341325190,False,7,37.5660974211,11.6321918703,0.3811791542,0.0000000000,selected_by_nested_expanding_origin_smape,True,lower,3,zero_boundary_diagnostic,False
tourist_visits,100.0000000000,100.0000000000,False,7,40.1541914942,10.7423501704,0.4080430763,0.0000000000,selected_by_nested_expanding_origin_smape,True,lower,3,zero_boundary_diagnostic,False
tourist_visits,177.8279410039,177.8279410039,False,7,41.7864582204,10.2304424617,0.4250586365,0.0000000000,selected_by_nested_expanding_origin_smape,True,lower,3,zero_boundary_diagnostic,False
tourist_visits,316.2277660168,316.2277660168,False,7,42.7693992656,9.9508613787,0.4353358346,0.0000000000,selected_by_nested_expanding_origin_smape,True,lower,3,zero_boundary_diagnostic,False
tourist_visits,562.3413251903,562.3413251903,False,7,43.3446530159,9.7998310740,0.4413618694,0.0000000000,selected_by_nested_expanding_origin_smape,True,lower,3,zero_boundary_diagnostic,False
tourist_visits,1000.0000000000,1000.0000000000,False,7,43.6756409222,9.7177014565,0.4448331063,0.0000000000,selected_by_nested_expanding_origin_smape,True,lower,3,zero_boundary_diagnostic,False
tourism_comprehensive_income,0.0001000000,0.0001000000,False,7,15.3447422108,16.2420787564,0.1552206387,0.0001000000,selected_by_nested_expanding_origin_smape,True,lower,3,official_only,False
tourism_comprehensive_income,0.0001778279,0.0001778279,False,7,15.3449480766,16.2417767943,0.1552226593,0.0001000000,selected_by_nested_expanding_origin_smape,True,lower,3,official_only,False
tourism_comprehensive_income,0.0003162278,0.0003162278,False,7,15.3453141512,16.2412398748,0.1552262524,0.0001000000,selected_by_nested_expanding_origin_smape,True,lower,3,official_only,False
tourism_comprehensive_income,0.0005623413,0.0005623413,False,7,15.3459650950,16.2402852511,0.1552326415,0.0001000000,selected_by_nested_expanding_origin_smape,True,lower,3,official_only,False
tourism_comprehensive_income,0.0010000000,0.0010000000,False,7,15.3471225316,16.2385881985,0.1552440021,0.0001000000,selected_by_nested_expanding_origin_smape,True,lower,3,official_only,False
tourism_comprehensive_income,0.0017782794,0.0017782794,False,7,15.3491803868,16.2355720564,0.1552642006,0.0001000000,selected_by_nested_expanding_origin_smape,True,lower,3,official_only,False
tourism_comprehensive_income,0.0031622777,0.0031622777,False,7,15.3528385946,16.2302138612,0.1553001075,0.0001000000,selected_by_nested_expanding_origin_smape,True,lower,3,official_only,False
tourism_comprehensive_income,0.0056234133,0.0056234133,False,7,15.3593400115,16.2207023982,0.1553639232,0.0001000000,selected_by_nested_expanding_origin_smape,True,lower,3,official_only,False
tourism_comprehensive_income,0.0100000000,0.0100000000,False,7,15.3708890343,16.2038417769,0.1554772892,0.0001000000,selected_by_nested_expanding_origin_smape,True,lower,3,official_only,False
tourism_comprehensive_income,0.0177827941,0.0177827941,False,7,15.3913875768,16.1740275715,0.1556785189,0.0001000000,selected_by_nested_expanding_origin_smape,True,lower,3,official_only,False
tourism_comprehensive_income,0.0316227766,0.0316227766,False,7,15.4277173722,16.1215417313,0.1560352063,0.0001000000,selected_by_nested_expanding_origin_smape,True,lower,3,official_only,False
tourism_comprehensive_income,0.0562341325,0.0562341325,False,7,15.4919378340,16.0298827358,0.1566658689,0.0001000000,selected_by_nested_expanding_origin_smape,True,lower,3,official_only,False
tourism_comprehensive_income,0.1000000000,0.1000000000,False,7,15.6049408046,15.8721447099,0.1577760365,0.0001000000,selected_by_nested_expanding_origin_smape,True,lower,3,official_only,False
tourism_comprehensive_income,0.1778279410,0.1778279410,False,7,15.8021854798,15.6080355737,0.1597151907,0.0001000000,selected_by_nested_expanding_origin_smape,True,lower,3,official_only,False
tourism_comprehensive_income,0.3162277660,0.3162277660,False,7,16.1416792748,15.1888974124,0.1630569778,0.0001000000,selected_by_nested_expanding_origin_smape,True,lower,3,official_only,False
tourism_comprehensive_income,0.5623413252,0.5623413252,False,7,16.7121542298,14.5956572119,0.1686845294,0.0001000000,selected_by_nested_expanding_origin_smape,True,lower,3,official_only,False
tourism_comprehensive_income,1.0000000000,1.0000000000,False,7,17.6331565417,13.9751265634,0.1778034500,0.0001000000,selected_by_nested_expanding_origin_smape,True,lower,3,official_only,False
tourism_comprehensive_income,1.7782794100,1.7782794100,False,7,20.1664075916,11.9427694686,0.2030852220,0.0001000000,selected_by_nested_expanding_origin_smape,True,lower,3,official_only,False
tourism_comprehensive_income,3.1622776602,3.1622776602,False,7,24.4276227988,8.0649958070,0.2458630147,0.0001000000,selected_by_nested_expanding_origin_smape,True,lower,3,official_only,False
tourism_comprehensive_income,5.6234132519,5.6234132519,False,7,29.6145392956,4.6613833448,0.2984861645,0.0001000000,selected_by_nested_expanding_origin_smape,True,lower,3,official_only,False
tourism_comprehensive_income,10.0000000000,10.0000000000,False,7,35.0618616083,7.6177781808,0.3547236107,0.0001000000,selected_by_nested_expanding_origin_smape,True,lower,3,official_only,False
tourism_comprehensive_income,17.7827941004,17.7827941004,False,7,39.9679965987,13.8749338397,0.4066117900,0.0001000000,selected_by_nested_expanding_origin_smape,True,lower,3,official_only,False
tourism_comprehensive_income,31.6227766017,31.6227766017,False,7,43.8110038383,19.8219444223,0.4483916466,0.0001000000,selected_by_nested_expanding_origin_smape,True,lower,3,official_only,False
tourism_comprehensive_income,56.2341325190,56.2341325190,False,7,48.3857012597,19.7832749336,0.4972637503,0.0001000000,selected_by_nested_expanding_origin_smape,True,lower,3,official_only,False
tourism_comprehensive_income,100.0000000000,100.0000000000,False,7,51.6478043684,19.3069876392,0.5323426881,0.0001000000,selected_by_nested_expanding_origin_smape,True,lower,3,official_only,False
tourism_comprehensive_income,177.8279410039,177.8279410039,False,7,53.6977103456,19.0281954208,0.5545522624,0.0001000000,selected_by_nested_expanding_origin_smape,True,lower,3,official_only,False
tourism_comprehensive_income,316.2277660168,316.2277660168,False,7,54.9296880717,18.8719111304,0.5679669923,0.0001000000,selected_by_nested_expanding_origin_smape,True,lower,3,official_only,False
tourism_comprehensive_income,562.3413251903,562.3413251903,False,7,55.6498996820,18.7853192152,0.5758337358,0.0001000000,selected_by_nested_expanding_origin_smape,True,lower,3,official_only,False
