track,outer_fold_id,metric,lambda,alpha_code_parameter,validation_year,inner_physical_train_n,inner_effective_train_n,inner_train_end_year,actual,prediction,smape_percent,absolute_log_error,simulated_training
pseudo_holdout_2024,pseudo_holdout_2024__tourist_visits__test_2024,tourist_visits,0.0316227766,0.0316227766,2015,5,5,2014,1818.7200000000,1668.5297175955,8.6136809559,0.0861901269,True
pseudo_holdout_2024,pseudo_holdout_2024__tourist_visits__test_2024,tourist_visits,0.0316227766,0.0316227766,2016,6,6,2015,2086.0000000000,1927.0517021072,7.9215674101,0.0792571371,True
pseudo_holdout_2024,pseudo_holdout_2024__tourist_visits__test_2024,tourist_visits,0.0316227766,0.0316227766,2017,7,7,2016,2392.0000000000,2197.4821496118,8.4766796796,0.0848176086,True
pseudo_holdout_2024,pseudo_holdout_2024__tourist_visits__test_2024,tourist_visits,0.0316227766,0.0316227766,2018,8,8,2017,2660.0000000000,2491.1440113512,6.5560577719,0.0655840755,True
pseudo_holdout_2024,pseudo_holdout_2024__tourist_visits__test_2024,tourist_visits,0.0316227766,0.0316227766,2019,9,9,2018,2800.0000000000,2778.6840698495,0.7641920526,0.0076419577,True
pseudo_holdout_2024,pseudo_holdout_2024__tourist_visits__test_2024,tourist_visits,0.0316227766,0.0316227766,2023,10,13,2019,2363.0000000000,3713.0906846497,44.4394514407,0.4519326002,True
pseudo_holdout_2024,pseudo_holdout_2024__tourist_visits__test_2024,tourist_visits,0.0562341325,0.0562341325,2014,4,4,2013,1553.4000000000,1442.1671382973,7.4264976592,0.0742991376,True
pseudo_holdout_2024,pseudo_holdout_2024__tourist_visits__test_2024,tourist_visits,0.0562341325,0.0562341325,2015,5,5,2014,1818.7200000000,1666.1975407814,8.7532894213,0.0875888483,True
pseudo_holdout_2024,pseudo_holdout_2024__tourist_visits__test_2024,tourist_visits,0.0562341325,0.0562341325,2016,6,6,2015,2086.0000000000,1924.4802682493,8.0548822558,0.0805924158,True
pseudo_holdout_2024,pseudo_holdout_2024__tourist_visits__test_2024,tourist_visits,0.0562341325,0.0562341325,2017,7,7,2016,2392.0000000000,2194.7263915268,8.6019348718,0.0860724481,True
pseudo_holdout_2024,pseudo_holdout_2024__tourist_visits__test_2024,tourist_visits,0.0562341325,0.0562341325,2018,8,8,2017,2660.0000000000,2488.2091893634,6.6738084766,0.0667628721,True
pseudo_holdout_2024,pseudo_holdout_2024__tourist_visits__test_2024,tourist_visits,0.0562341325,0.0562341325,2019,9,9,2018,2800.0000000000,2775.6329624567,0.8740545767,0.0087406014,True
pseudo_holdout_2024,pseudo_holdout_2024__tourist_visits__test_2024,tourist_visits,0.0562341325,0.0562341325,2023,10,13,2019,2363.0000000000,3705.9965360361,44.2576141892,0.4500201950,True
pseudo_holdout_2024,pseudo_holdout_2024__tourist_visits__test_2024,tourist_visits,0.1000000000,0.1000000000,2014,4,4,2013,1553.4000000000,1438.4975609756,7.6809072960,0.0768468685,True
pseudo_holdout_2024,pseudo_holdout_2024__tourist_visits__test_2024,tourist_visits,0.1000000000,0.1000000000,2015,5,5,2014,1818.7200000000,1662.1058823529,8.9986757707,0.0900475548,True
pseudo_holdout_2024,pseudo_holdout_2024__tourist_visits__test_2024,tourist_visits,0.1000000000,0.1000000000,2016,6,6,2015,2086.0000000000,1919.9587978142,8.2897109314,0.0829446302,True
pseudo_holdout_2024,pseudo_holdout_2024__tourist_visits__test_2024,tourist_visits,0.1000000000,0.1000000000,2017,7,7,2016,2392.0000000000,2189.8730784708,8.8228948322,0.0882862490,True
pseudo_holdout_2024,pseudo_holdout_2024__tourist_visits__test_2024,tourist_visits,0.1000000000,0.1000000000,2018,8,8,2017,2660.0000000000,2483.0343121693,6.8817618973,0.0688447975,True
pseudo_holdout_2024,pseudo_holdout_2024__tourist_visits__test_2024,tourist_visits,0.1000000000,0.1000000000,2019,9,9,2018,2800.0000000000,2770.2480097680,1.0682465190,0.0106825668,True
pseudo_holdout_2024,pseudo_holdout_2024__tourist_visits__test_2024,tourist_visits,0.1000000000,0.1000000000,2023,10,13,2019,2363.0000000000,3693.6022678822,43.9389020124,0.4466702080,True
pseudo_holdout_2024,pseudo_holdout_2024__tourist_visits__test_2024,tourist_visits,0.1778279410,0.1778279410,2014,4,4,2013,1553.4000000000,1432.1619499153,8.1216234745,0.0812609213,True
pseudo_holdout_2024,pseudo_holdout_2024__tourist_visits__test_2024,tourist_visits,0.1778279410,0.1778279410,2015,5,5,2014,1818.7200000000,1655.0006393933,9.4261673636,0.0943315618,True
pseudo_holdout_2024,pseudo_holdout_2024__tourist_visits__test_2024,tourist_visits,0.1778279410,0.1778279410,2016,6,6,2015,2086.0000000000,1912.0766142740,8.7003528199,0.0870584725,True
pseudo_holdout_2024,pseudo_holdout_2024__tourist_visits__test_2024,tourist_visits,0.1778279410,0.1778279410,2017,7,7,2016,2392.0000000000,2181.3887349408,9.2102936035,0.0921681277,True
pseudo_holdout_2024,pseudo_holdout_2024__tourist_visits__test_2024,tourist_visits,0.1778279410,0.1778279410,2018,8,8,2017,2660.0000000000,2473.9687621523,7.2470732280,0.0725024754,True
pseudo_holdout_2024,pseudo_holdout_2024__tourist_visits__test_2024,tourist_visits,0.1778279410,0.1778279410,2019,9,9,2018,2800.0000000000,2760.7989276716,1.4099079229,0.0140993128,True
pseudo_holdout_2024,pseudo_holdout_2024__tourist_visits__test_2024,tourist_visits,0.1778279410,0.1778279410,2023,10,13,2019,2363.0000000000,3672.2334871352,43.3863408906,0.4408680584,True
pseudo_holdout_2024,pseudo_holdout_2024__tourist_visits__test_2024,tourist_visits,0.3162277660,0.3162277660,2014,4,4,2013,1553.4000000000,1421.4598744067,8.8703422120,0.0887616529,True
pseudo_holdout_2024,pseudo_holdout_2024__tourist_visits__test_2024,tourist_visits,0.3162277660,0.3162277660,2015,5,5,2014,1818.7200000000,1642.8794418348,10.1594977189,0.1016824974,True
pseudo_holdout_2024,pseudo_holdout_2024__tourist_visits__test_2024,tourist_visits,0.3162277660,0.3162277660,2016,6,6,2015,2086.0000000000,1898.5397337480,9.4093811972,0.0941633271,True
pseudo_holdout_2024,pseudo_holdout_2024__tourist_visits__test_2024,tourist_visits,0.3162277660,0.3162277660,2017,7,7,2016,2392.0000000000,2166.7471066843,9.8822280791,0.0989028224,True
pseudo_holdout_2024,pseudo_holdout_2024__tourist_visits__test_2024,tourist_visits,0.3162277660,0.3162277660,2018,8,8,2017,2660.0000000000,2458.2668406496,7.8828699492,0.0788695575,True
pseudo_holdout_2024,pseudo_holdout_2024__tourist_visits__test_2024,tourist_visits,0.3162277660,0.3162277660,2019,9,9,2018,2800.0000000000,2744.3858162839,2.0061440729,0.0200621136,True
pseudo_holdout_2024,pseudo_holdout_2024__tourist_visits__test_2024,tourist_visits,0.3162277660,0.3162277660,2023,10,13,2019,2363.0000000000,3636.2146977291,42.4460454203,0.4310112241,True
