track,outer_fold_id,metric,lambda,alpha_code_parameter,validation_year,inner_physical_train_n,inner_effective_train_n,inner_train_end_year,actual,prediction,smape_percent,absolute_log_error,simulated_training
official_only_nested,tourism_comprehensive_income_test_2017,tourism_comprehensive_income,0.0056234133,0.0056234133,2015,5,5,2014,94.0000000000,86.3564018312,8.4761040819,0.0848118423,False
official_only_nested,tourism_comprehensive_income_test_2017,tourism_comprehensive_income,0.0100000000,0.0100000000,2014,4,4,2013,79.0000000000,71.3838730898,10.1289144291,0.1013758757,False
official_only_nested,tourism_comprehensive_income_test_2017,tourism_comprehensive_income,0.0100000000,0.0100000000,2015,5,5,2014,94.0000000000,86.3291358228,8.5076259499,0.0851276302,False
official_only_nested,tourism_comprehensive_income_test_2017,tourism_comprehensive_income,0.0177827941,0.0177827941,2014,4,4,2013,79.0000000000,71.3408628584,10.1890291116,0.1019785776,False
official_only_nested,tourism_comprehensive_income_test_2017,tourism_comprehensive_income,0.0177827941,0.0177827941,2015,5,5,2014,94.0000000000,86.2807667368,8.5635682640,0.0856880742,False
official_only_nested,tourism_comprehensive_income_test_2017,tourism_comprehensive_income,0.0316227766,0.0316227766,2014,4,4,2013,79.0000000000,71.2647888568,10.2954407377,0.1030454920,False
official_only_nested,tourism_comprehensive_income_test_2017,tourism_comprehensive_income,0.0316227766,0.0316227766,2015,5,5,2014,94.0000000000,86.1951226207,8.6626954890,0.0866811883,False
official_only_nested,tourism_comprehensive_income_test_2017,tourism_comprehensive_income,0.0562341325,0.0562341325,2014,4,4,2013,79.0000000000,71.1307904296,10.4831387990,0.1049275513,False
official_only_nested,tourism_comprehensive_income_test_2017,tourism_comprehensive_income,0.0562341325,0.0562341325,2015,5,5,2014,94.0000000000,86.0439816477,8.8378609266,0.0884362022,False
official_only_nested,tourism_comprehensive_income_test_2017,tourism_comprehensive_income,0.1000000000,0.1000000000,2014,4,4,2013,79.0000000000,70.8964777805,10.8121582835,0.1082270989,False
official_only_nested,tourism_comprehensive_income_test_2017,tourism_comprehensive_income,0.1000000000,0.1000000000,2015,5,5,2014,94.0000000000,85.7788142588,9.1458893809,0.0915227263,False
official_only_nested,tourism_comprehensive_income_test_2017,tourism_comprehensive_income,0.1778279410,0.1778279410,2014,4,4,2013,79.0000000000,70.4919315123,11.3826457410,0.1139495958,False
official_only_nested,tourism_comprehensive_income_test_2017,tourism_comprehensive_income,0.1778279410,0.1778279410,2015,5,5,2014,94.0000000000,85.3183460268,9.6829512045,0.0969052744,False
official_only_nested,tourism_comprehensive_income_test_2017,tourism_comprehensive_income,0.3162277660,0.3162277660,2014,4,4,2013,79.0000000000,69.8085744268,12.3533547829,0.1236910075,False
official_only_nested,tourism_comprehensive_income_test_2017,tourism_comprehensive_income,0.3162277660,0.3162277660,2015,5,5,2014,94.0000000000,84.5328097064,10.6055467442,0.1061550427,False
official_only_nested,tourism_comprehensive_income_test_2017,tourism_comprehensive_income,0.5623413252,0.5623413252,2014,4,4,2013,79.0000000000,68.6957914363,13.9532866354,0.1397599151,False
official_only_nested,tourism_comprehensive_income_test_2017,tourism_comprehensive_income,0.5623413252,0.5623413252,2015,5,5,2014,94.0000000000,83.2324717202,12.1507398450,0.1216572255,False
official_only_nested,tourism_comprehensive_income_test_2017,tourism_comprehensive_income,1.0000000000,1.0000000000,2014,4,4,2013,79.0000000000,66.9875674000,16.4567884977,0.1649408115,False
official_only_nested,tourism_comprehensive_income_test_2017,tourism_comprehensive_income,1.0000000000,1.0000000000,2015,5,5,2014,94.0000000000,81.1836292000,14.6319274906,0.1465811663,False
official_only_nested,tourism_comprehensive_income_test_2017,tourism_comprehensive_income,1.7782794100,1.7782794100,2014,4,4,2013,79.0000000000,64.5890986555,20.0724170281,0.2014022074,False
official_only_nested,tourism_comprehensive_income_test_2017,tourism_comprehensive_income,1.7782794100,1.7782794100,2015,5,5,2014,94.0000000000,78.1937974691,18.3586200701,0.1841044541,False
official_only_nested,tourism_comprehensive_income_test_2017,tourism_comprehensive_income,3.1622776602,3.1622776602,2014,4,4,2013,79.0000000000,61.6115908107,24.7325403106,0.2485978371,False
official_only_nested,tourism_comprehensive_income_test_2017,tourism_comprehensive_income,3.1622776602,3.1622776602,2015,5,5,2014,94.0000000000,74.2855088067,23.4298144066,0.2353788858,False
official_only_nested,tourism_comprehensive_income_test_2017,tourism_comprehensive_income,5.6234132519,5.6234132519,2014,4,4,2013,79.0000000000,58.4323581087,29.9312944554,0.3015780389,False
official_only_nested,tourism_comprehensive_income_test_2017,tourism_comprehensive_income,5.6234132519,5.6234132519,2015,5,5,2014,94.0000000000,69.8510357147,29.4767307145,0.2969298690,False
official_only_nested,tourism_comprehensive_income_test_2017,tourism_comprehensive_income,10.0000000000,10.0000000000,2014,4,4,2013,79.0000000000,55.5400441429,34.8743097367,0.3523435758,False
official_only_nested,tourism_comprehensive_income_test_2017,tourism_comprehensive_income,10.0000000000,10.0000000000,2015,5,5,2014,94.0000000000,65.5600000000,35.6480320882,0.3603290284,False
official_only_nested,tourism_comprehensive_income_test_2017,tourism_comprehensive_income,17.7827941004,17.7827941004,2014,4,4,2013,79.0000000000,53.2677686523,38.9092998391,0.3941164199,False
official_only_nested,tourism_comprehensive_income_test_2017,tourism_comprehensive_income,17.7827941004,17.7827941004,2015,5,5,2014,94.0000000000,62.0018912322,41.0227190389,0.4161298939,False
official_only_nested,tourism_comprehensive_income_test_2017,tourism_comprehensive_income,31.6227766017,31.6227766017,2014,4,4,2013,79.0000000000,51.6797293286,41.8125608489,0.4243822305,False
official_only_nested,tourism_comprehensive_income_test_2017,tourism_comprehensive_income,31.6227766017,31.6227766017,2015,5,5,2014,94.0000000000,59.4103435067,45.0942950817,0.4588264380,False
official_only_nested,tourism_comprehensive_income_test_2017,tourism_comprehensive_income,56.2341325190,56.2341325190,2014,4,4,2013,79.0000000000,50.6584790720,43.7171886187,0.4443412306,False
official_only_nested,tourism_comprehensive_income_test_2017,tourism_comprehensive_income,56.2341325190,56.2341325190,2015,5,5,2014,94.0000000000,57.6957047870,47.8646317164,0.4881120520,False
official_only_nested,tourism_comprehensive_income_test_2017,tourism_comprehensive_income,100.0000000000,100.0000000000,2014,4,4,2013,79.0000000000,50.0364271923,44.8920873553,0.4566965685,False
official_only_nested,tourism_comprehensive_income_test_2017,tourism_comprehensive_income,100.0000000000,100.0000000000,2015,5,5,2014,94.0000000000,56.6322118857,49.6146045344,0.5067168444,False
official_only_nested,tourism_comprehensive_income_test_2017,tourism_comprehensive_income,177.8279410039,177.8279410039,2014,4,4,2013,79.0000000000,49.6699823225,45.5895262408,0.4640470792,False
official_only_nested,tourism_comprehensive_income_test_2017,tourism_comprehensive_income,177.8279410039,177.8279410039,2015,5,5,2014,94.0000000000,55.9988008921,50.6686705253,0.5179645044,False
official_only_nested,tourism_comprehensive_income_test_2017,tourism_comprehensive_income,316.2277660168,316.2277660168,2014,4,4,2013,79.0000000000,49.4583495119,45.9941305494,0.4683169611,False
official_only_nested,tourism_comprehensive_income_test_2017,tourism_comprehensive_income,316.2277660168,316.2277660168,2015,5,5,2014,94.0000000000,55.6306195144,51.2854663172,0.5245610219,False
